"","sum.water","sum.lulc.dst011","sum.lulc.dst040","sum.lulc.dst130","sum.lulc.dst140","sum.lulc.dst150","sum.lulc.dst160","sum.lulc.dst190","sum.lulc.dst200","sum.topo","sum.slope","sum.ntl","sum.pop20","mean.water","mean.lulc.dst011","mean.lulc.dst040","mean.lulc.dst130","mean.lulc.dst140","mean.lulc.dst150","mean.lulc.dst160","mean.lulc.dst190","mean.lulc.dst200","mean.topo","mean.slope","mean.ntl","mean.pop20"
"229",108300.015625,-12716.24609375,2648122.5,1268975.125,10978567,288086.375,3857449.25,42503.93359375,29865.64453125,2635749,23092.0703125,137423.984375,98002.3828125,4.43178272247314,-0.52036589384079,108.364738464355,51.9281730651855,449.257751464844,11.7888822555542,157.852020263672,1.7393182516098,1.22214245796204,107.8583984375,0.944958627223969,5.62357473373413,4.02921342849731
"230",532680.5625,275838.375,3884780.25,4091852.75,8227314,877882.4375,11189796,5329805,-272473.5,7772023,46882.33984375,2782.03857421875,3069.05786132812,16.9967765808105,8.80145359039307,123.955612182617,130.562881469727,262.517242431641,28.0114822387695,357.044128417969,170.0634765625,-8.69408702850342,247.989791870117,1.49592220783234,0.0887693166732788,0.0979275330901146
"231",160773712,179633856,724590720,579564224,2624686336,178305088,1968072448,575638912,-95071872,1946140032,19423614,1253488,439320.1875,21.3518466949463,23.8566017150879,96.2305908203125,76.970085144043,348.576263427734,23.6801319122314,261.373443603516,76.4487762451172,-12.6261930465698,258.460693359375,2.57958841323853,0.166471764445305,0.0632278099656105
"232",43505.20703125,-15829.8310546875,5936263.5,136702.671875,9845721,94142.390625,195964.9375,24139.4765625,73417.7890625,882908.9375,10580.46484375,189004.546875,398803.65625,2.46014642715454,-0.895150423049927,335.685760498047,7.73030710220337,556.759033203125,5.32359457015991,11.081488609314,1.36504697799683,4.15165281295776,49.9270210266113,0.598307549953461,10.6878900527954,23.083366394043
"233",57383.796875,-20749.974609375,6898949.5,425466.125,10665073,287701.71875,187595.8125,25525.654296875,76748,1055652.375,12085.2900390625,189119.953125,353484.25,3.01798415184021,-1.09130275249481,362.836212158203,22.3765258789062,560.907836914062,15.1310873031616,9.86622047424316,1.3424699306488,4.03640508651733,55.519889831543,0.635601282119751,9.94637966156006,19.3440456390381
"234",18060.955078125,-5610.71142578125,3627286.5,343417.40625,5463862,162302.421875,87514.8828125,10918.2421875,28015.091796875,568593.0625,5743.60302734375,73288.015625,276235.5,1.83680462837219,-0.57061105966568,368.896118164062,34.9256553649902,555.676391601562,16.5062046051025,8.90028953552246,1.11038851737976,2.84914326667786,57.8260879516602,0.584126174449921,7.45341348648071,28.4821128845215
"235",26987.84765625,-7873.0498046875,3888492.5,57329.10546875,6273126,45874.921875,71077.7421875,10621.2177734375,53256.234375,592888.0625,6801.06982421875,156599.046875,320310.90625,2.38291215896606,-0.695156812667847,343.337341308594,5.0619158744812,553.890319824219,4.05056047439575,6.27586221694946,0.937808334827423,4.70229864120483,52.3494911193848,0.600505530834198,13.8270292282104,29.0030708312988
"236",27237.12890625,-5292.5205078125,2232329.75,214772.296875,3368907,134516.53125,86293.6484375,5971.44091796875,15046.9365234375,336500.71875,2700.14428710938,58130.72265625,131265.15625,4.5890998840332,-0.891720414161682,376.118347167969,36.1863212585449,567.61669921875,22.6642742156982,14.5393505096436,1.00610959529877,2.53521180152893,56.6959648132324,0.454938977956772,9.79426574707031,22.1164608001709
"237",61775.984375,-16144.7392578125,8445182,218003.484375,14763842,297597.53125,315818.5625,22521.42578125,85030.6328125,1219721.375,19741.419921875,187527.390625,478352.59375,2.38824677467346,-0.62415224313736,326.488983154297,8.42796897888184,570.767028808594,11.5050582885742,12.2094802856445,0.870673656463623,3.28726649284363,47.1541748046875,0.763199210166931,7.24976968765259,19.0490608215332
"238",72522.59375,-19581.64453125,9558965,271776.0625,15352951,231386.71875,115835.6953125,25622.271484375,102107.5859375,1469704,18858.869140625,320732.09375,525465,2.64823126792908,-0.715042293071747,349.054656982422,9.92416095733643,560.627563476562,8.44930553436279,4.22985029220581,0.935621500015259,3.72855520248413,53.6676330566406,0.688649475574493,11.7118368148804,19.9984474182129
"239",1849.45288085938,-518.269226074219,656895,6378.9208984375,1059339.25,6783.9443359375,6707.9189453125,1063.50769042969,4344.884765625,103471.8828125,1792.7587890625,80066.5078125,290079.875,0.978038609027863,-0.274074196815491,347.383087158203,3.37333869934082,560.2060546875,3.5875256061554,3.54732131958008,0.562410414218903,2.29768776893616,54.7186126708984,0.948057293891907,42.3412437438965,159.91047668457
"240",820.281188964844,615.502197265625,663357.3125,3361.99584960938,1070104.875,4315.849609375,10042.310546875,53.9747085571289,7775.97900390625,104547.7890625,2135.14184570312,109252.1875,220008.546875,0.427571684122086,0.32083061337471,345.775085449219,1.75244081020355,557.792297363281,2.24963712692261,5.23455572128296,0.028134323656559,4.05323028564453,54.495548248291,1.11294293403625,56.9477195739746,137.751693725586
"241",78457.390625,-17048.74609375,9392221,186719.203125,16964862,314544.0625,315211.5,24839.458984375,108367.1875,1394715.625,23997.400390625,292200.03125,611827.8125,2.61307835578918,-0.567820429801941,312.814483642578,6.2188138961792,565.026611328125,10.476110458374,10.4983396530151,0.827295541763306,3.60924506187439,46.4519805908203,0.799250245094299,9.73192691802979,20.8711128234863
"242",39336.4765625,-26215.1640625,9050344,141689.09375,15286378,304837.53125,319508.15625,35032.234375,112968.1484375,1340212.125,17288.337890625,212667.578125,543757.9375,1.46084177494049,-0.97355455160141,336.103332519531,5.26191854476929,567.69140625,11.3207750320435,11.8655986785889,1.30099475383759,4.1953067779541,49.7715606689453,0.642038345336914,7.89785194396973,21.0052299499512
"243",12112.0732421875,1300.79809570312,499994.75,17506.630859375,805086.5625,7084.8662109375,3523.40063476562,6086.0205078125,-983.644409179688,103806.984375,1108.59252929688,10701.185546875,2228.6181640625,8.20673561096191,0.881377220153809,338.779693603516,11.8619070053101,545.499694824219,4.80046796798706,2.38733816146851,4.1236834526062,-0.666484534740448,70.3361358642578,0.75114518404007,7.25076484680176,1.51003706455231
